,Title,Label,Type,Price,Location,Baths,Area,Purpose,Bedroom(s),Added,Description,Main Features,Rooms,Business and Communication,Healthcare Recreational,Nearby Locations and Other Facilities,Other Facilities,Popular,Source,Time Stamp
1,30 Marla Slightly Used Furnished Bungalow With Swimming Pool  For Sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",House,PKR   3.9 Crore,"DHA Defence, Islamabad, Islamabad Capital",6,1.5 Kanal,For Sale,6,5 days ago,"Don't miss the chance to buy this stunning 1. 5 Kanal bungalow located in one of the best locations of  DHA phase-2  Islamabad. It has easy access to GT Road and Islamabad Expressway giving buyers easy access to all surrounding areas. The property comprises of six spacious bedrooms and seven bathrooms, living space, dining area and kitchen. This amazing property will be ideal for you to raise a family in while taking advantage of the excellent facilities this gated development has to offer. The amenities include schools, hospitals, restaurants and malls."," Parking Spaces: 3 , Double Glazed Windows , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 3 , Other Main Features , Furnished"," Bedrooms: 6 , Bathrooms: 6 , Servant Quarters: 2 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Powder Room  , Gym , Store Rooms: 2 , Steam Room , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom"," Lawn or Garden , Swimming Pool , Jacuzzi"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled",super hot,Islamabad-3-1,3/31/2019 23:12
2,Out Standing Corner Designer Bungalow For Sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",House,PKR   5.5 Crore,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,5,1 week ago,"Don't miss the chance to buy this stunning 1 Kanal bungalow located in one of the best locations of Defence 2 . It has easy access to GT Road and Islamabad Expressway giving buyers easy access to all surrounding areas. The property comprises of five spacious bedrooms and six bathrooms, living space, dining area and kitchen. This amazing property will be ideal for you to raise a family in while taking advantage of the excellent facilities this gated development has to offer. The amenities include schools, hospitals, restaurants and malls. This house features :The overall houses is decorated with branded fittings1 Living rooms2 Stylish kitchens5 Spacious bedrooms6 Luxury bathrooms1 Drawing room1 Dining room 1 Store room1 Servant room with attached bathEntrance lobby with stairsIndoor Green TerraceParking space for 4 carsFor more options and visit please contact us."," Built in year: 2018 , Flooring , Electricity Backup"," Drawing Room , Dining Room , Study Room , Powder Room  , Lounge or Sitting Room , Laundry Room", , Lawn or Garden," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff",super hot,Islamabad-3-1,3/31/2019 23:12
3,1 Kanal Aesthetic Design  Bungalow For Sale,"DHA Defence Phase 1, DHA Defence, Islamabad, Islamabad Capital",House,PKR   4 Crore,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,5,2 weeks ago,"Don't miss the chance to buy this stunning 1 Kanal bungalow located in one of the best locations of  DHA phase-1  Islamabad. It has easy access to GT Road and Islamabad Expressway giving buyers easy access to all surrounding areas. The property comprises of five spacious bedrooms and seven bathrooms, living space, dining area and kitchen. This amazing property will be ideal for you to raise a family in while taking advantage of the excellent facilities this gated development has to offer. The amenities include schools, hospitals, restaurants and malls."," Parking Spaces: 3 , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 2 , Other Main Features"," Bedrooms: 5 , Bathrooms: 6 , Servant Quarters: 2 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Powder Room  , Store Rooms: 2 , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom"," Lawn or Garden , Jacuzzi"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled",super hot,Islamabad-3-1,3/31/2019 23:12
4,Always Stay Connected To The Capital By Living Close To Main Gateways,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",House,PKR   4.4 Crore,"DHA Defence, Islamabad, Islamabad Capital",8,1 Kanal,For Sale,6,2 weeks ago,"Home At Very Pleasant And Peaceful Side With Friendly And Most And Most Enjoyable Surroundings. Double Unit 6 Bed, Spacious Car Porch And Lawn. Imported Tiles. Imported Fitting In Kitchen And Washrooms. 3 Servant Quarters. Please Feel Free To Call Us If You Need Further Details About It. We Request That Only Serious Individuals Contact Us To Make An Immediate Deal, And Please Do Not Forget To Mention Zameen. com When Calling."," Built in year: 2018 , Parking Spaces: 2 , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Floors: 2 , Other Main Features"," Bedrooms: 6 , Bathrooms: 8 , Servant Quarters: 3 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", Lawn or Garden," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff",super hot,Islamabad-3-1,3/31/2019 23:12
5,Main Double Road Brand New 2 Unit House For Sale In G15 Islamabad,"G-15, Islamabad, Islamabad Capital",House,PKR   3.5 Crore,"G-15, Islamabad, Islamabad Capital",8,14.2 Marla,For Sale,6,3 weeks ago,"Ideal Location Main Duble Brand New House In G-15 IslamabadHere's an attractive deal coming your way: a 3200 Square Feet House in , G-15, Islamabad is available for Sale. You could get this House for only 3 crore 50 lac PKR (Pakistan), which is highly affordable. The House features 6 beds, designed to optimize space and give an open and airy feel. The House also comes with 8 baths featuring all modern2 Drawing room 2 Dining room 2 TV lounge2 Kitchen 1 Servant with Attach Bath accessories and fittings. We are interested in serious clients only, so please call us if you are genuinely interested in this House. Please mention Zameen. com when calling."," Built in year: 2018 , Parking Spaces: 3 , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 2 , Other Main Features , Furnished"," Bedrooms: 6 , Bathrooms: 8 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Powder Room  , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities"," Lawn or Garden , Swimming Pool , Sauna , Jacuzzi , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled",super hot,Islamabad-3-1,3/31/2019 23:12
6,House Is Available For Sale,"F-10, Islamabad, Islamabad Capital",House,PKR   10 Crore,"F-10, Islamabad, Islamabad Capital",8,1 Kanal,For Sale,8,3 hours ago,"F-10 511 sq yards 8 bed room brand newwith two kanal extra land house 2 bed room with kitchen and T. V lounge, ground floor 3 bed room, and first floor 3 bed room with D/D, tv lounge, kitchen complete two unit house, lash house, green lawn, Available at Reasonable PriceCall Us For More Details.", ," Bedrooms: 8 , Bathrooms: 8 , Drawing Room , Dining Room", , , , ,super hot,Islamabad-3-1,3/31/2019 23:12
7,Designer 10 Marla Luxurious House For Sale In Bahria Town,"Bahria Town, Islamabad, Islamabad Capital",House,PKR   2.4 Crore,"Bahria Town, Islamabad, Islamabad Capital",6,10 Marla,For Sale,5,23 hours ago,"Designer 10 Marla HouseAt the Start of Bahria Town. Newly constructed at a very peaceful locationSolid construction and Beautiful FinishingExcellent Woodwork, Quality Fittings And Stylish kitchensNear to Masjid, Park and CommercialThis house features:2 Independent portions5 Spacious bedrooms6 Luxury bathrooms1 Drawing room2 Stylish kitchens2 Living rooms2 Store rooms1 Servant room with attached bathEntrance lobby with stairsParking space for 3 cars. We are also providing construction servicesFor more options and visit please contact us. Bahria Town your lifestyle destination"," Built in year: 2019 , Parking Spaces: 3 , Flooring , Electricity Backup , Waste Disposal , Floors: 2 , Other Main Features"," Bedrooms: 5 , Bathrooms: 6 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Powder Room  , Store Rooms: 2 , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", Lawn or Garden, ," Maintenance Staff , Security Staff , Facilities for Disabled",super hot,Islamabad-3-1,3/31/2019 23:12
8,Luxurious 6 Bed 1 Kanal House For Sale,"Bahria Town, Islamabad, Islamabad Capital",House,PKR   4.25 Crore,"Bahria Town, Islamabad, Islamabad Capital",8,1 Kanal,For Sale,6,23 hours ago,"Newly constructed at a Very peaceful locationSolid construction and Beautiful FinishingExcellent Woodwork, Quality Fittings And Stylish kitchensNear to Grand Masjid, Park and CommercialThis house features:2 Independent portions6 Spacious bedrooms8 Bathrooms2 Drawing room2 Dining rooms2 Stylish kitchens2 Living rooms2 Servant room with attached bathWith All Important Electronic Gadgets With Latest Technology Entrance lobby with stairsParking space for 5 carsFor more options and visit please contact us. AIM REAL ESTATENOW PROVIDING CONSTRUCTION SERVICES"," Built in year: 2019 , Parking Spaces: 3 , Flooring , Electricity Backup , Waste Disposal , Floors: 2 , Other Main Features"," Bedrooms: 6 , Bathrooms: 7 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Powder Room  , Store Rooms: 1 , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom"," Lawn or Garden , Jacuzzi", ," Maintenance Staff , Security Staff , Facilities for Disabled",super hot,Islamabad-3-1,3/31/2019 23:12
9,Designer Out Class 10 Marla House In Bahria Town,"Bahria Town, Islamabad, Islamabad Capital",House,PKR   2.4 Crore,"Bahria Town, Islamabad, Islamabad Capital",6,10 Marla,For Sale,5,23 hours ago,10 Marla house for sale having Excellent interior and exterior. 5 beds with attach baths. Tiled flooring. Double glazed glass windows. Car porch for 3 cars. Imported fittings and fixtures. Ash wood. Balconies and terraces. Beautiful house and beautiful location. Drawing Room solid ash wood door wooden & Ghani’s glass," Built in year: 2019 , Parking Spaces: 3 , Double Glazed Windows , Flooring , Electricity Backup , Waste Disposal , Floors: 2"," Bedrooms: 5 , Bathrooms: 6 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Store Rooms: 1 , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", Lawn or Garden," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service"," Maintenance Staff , Security Staff , Facilities for Disabled",super hot,Islamabad-3-1,3/31/2019 23:12
10,Stylish 1 Kanal House For Sale In Bahria Town,"Bahria Town, Islamabad, Islamabad Capital",House,PKR   4.25 Crore,"Bahria Town, Islamabad, Islamabad Capital",7,1 Kanal,For Sale,6,23 hours ago,"Excellent interior and exterior. Nicely build 1 kanal house. 6 beds, double storey. Ground floor 3 bedroom with attach baths. Drawing and dining room, T. v lounge, powder room and kitchen. Car porch of 3 cars. Most beautiful entrance. 1st floor: 3 bed attach baths, drawing room, T. v lounge, kitchen, balconies and terrace. Servant quarter with bath. Imported fittings and fixtures. It is the only housing scheme, in which you can enjoy Luxuries of life Very economically. Shopping, Zoo’s, Parks, Hospital, Mosque, School, College’s, Cinema,s, Restaurants, Tennis Club etc. For more options contact us"," Built in year: 2019 , Parking Spaces: 3 , Double Glazed Windows , Central Air Conditioning , Flooring , Electricity Backup , Waste Disposal , Floors: 2"," Bedrooms: 6 , Bathrooms: 7 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Store Rooms: 1 , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", Lawn or Garden," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service"," Maintenance Staff , Security Staff , Facilities for Disabled",super hot,Islamabad-3-1,3/31/2019 23:12
