,Title,Label,Type,Price,Location,Baths,Area,Purpose,Bedroom(s),Added,Description,Main Features,Rooms,Business and Communication,Healthcare Recreational,Nearby Locations and Other Facilities,Other Facilities,Popular,Source,Time Stamp
1,Villa Is Available For Sale,"Bahria Town - Precinct 27, Bahria Town Karachi, Karachi, Sindh",House,PKR   95 Lakh,"Bahria Town Karachi, Karachi, Sindh",3,8 Marla,For Sale,3,6 hours ago,"Villa for Sale. Location: Bahria Town Karachi. Having 3 Bedrooms. Drawing Dining. Bahria Features: Master-planned gated communityAdvanced security & rescue servicesPakistan largest shopping mall5-star international hotel & USGA standard golf courseCommercial areasGold-Class cinemas State-of- the-art sports facilitiesWorld-class school, college and International UniversityInternational standard hospitalInternational theme park, play-land and water-ridesWonders of the world monuments (Eiffel Tower, Taj-Mahal and Statue of Liberty)Jamiah MosqueLandscaped parksCommunity sports club & zooInternational standard construction & infrastructureGrid station & telephone-exchange Transport system from Bahria Town to City Centre100 % backup power (No Load-shedding)Own Money Change as per Market A Master-Planned Community with World-Class Infrastructure and FacilitiesProject Attraction: Bahria Town signature facilities and modern infrastructureProject Type: Master-planned community Project Status: Possession Handover has been started. Ideal Location | Unbelievable Prices25 minutes from Jinnah International Airport, Connected through Malir Cantt via 6 lane expressway9Km from Super-Highway toll plaza20 minutes from City Centre via metro bus. Ideal Location. Reasonable Demand. It is sure to be a profitable deal for any genuine client. For more information please contact."," Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Furnished"," Bedrooms: 3 , Bathrooms: 3 , Drawing Room , Dining Room , Kitchens: 1 , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms: 1 , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities"," Lawn or Garden , Swimming Pool , Sauna , Jacuzzi , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",super hot,Karachi-2-1,5/19/2019 0:17
2,West Open Bungalow On Most Prime And Vip Location Near Cbc Park,"DHA Phase 6, DHA Defence, Karachi, Sindh",House,PKR   12.75 Crore,"DHA Defence, Karachi, Sindh",6,1 Kanal,For Sale,5,11 hours ago,"500 Sq. Yards west open extra ordinary  Bungalow on  TOP most vvip location of dha phase 6 For Sale. A home of your dreams. Designed to perfection, each bungalow is a state of art and signature of a Master architect. Key features:All of the factors which are crucial for the overall appeal of the house,such as its strategic location, aesthetic design etc. are perfect. The house has 5 bedrooms with adjoined bathrooms; kitchen, drawing & dining,beautiful TV lounge, each of which is decorated with Tile flooring which adds a nice touch to the overall structure of the house. Another key feature of the house is that it has a spacious garage, balcony with a lush green lawn right next to it,hence giving the entrance of the house a very nice and warm look. Also, the house is located in the heart of a major vip area. This location is perfect for anyone and everyone as it is positioned close to major commercial areas, mosques, parks, famous restaurants making everyone's life very easy. Overall, the area exudes a sense of organized planning and disciplined construction,thus making it an excellent place to live in with your family. About Phase 6, DHA Karachi:This phase is fully developed and ideal for investment due to the following features;• Well-carpeted roads and streets are connecting this phase to the major areas of the city. • Number of schools like; The Etiquette School-Pakistan Chapter, Beaconhouse College Campus Defence, DA junior Model School Beachview, Wisdom Inn, CAPA, Ujala School for Special Children, DHA Model Montessori School, Karachi Belly Dance School are located near to this phase. • Number of hospitals are also located near to this phase like; Sir Syed Hospital,Alkhairy's Hospital South City School, Pirzada Pets Clinic, Aga Khan University Hospital laboratory etc. x• Many restaurants like; Chai Master, Burger King, Café Town Town, Neco's Natural Store & Café, Club Vanity Café, JinSOY, Pizza Hut, Subway, A1 Snacks, Meat One, Khattak Store, Cafeela,Lal's Patiserrie are located nearby• For recreational purpose Hill Park, Bukhari Park, McDonald Park, Rahat Park are located nearby. Give me a call for more preferences."," Built in year , Parking Spaces: 3 , Flooring , Electricity Backup , Waste Disposal , Floors: 2 , Other Main Features"," Bedrooms: 5 , Bathrooms: 6 , Servant Quarters: 2 , Drawing Room , Dining Room , Kitchens: 2 , Lounge or Sitting Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", Lawn or Garden," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places", Maintenance Staff,super hot,Karachi-2-1,5/19/2019 0:17
3,Villa Is Available For Sale In P11A Bahria Town With Key West Open,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Bahria Town Karachi, Karachi, Sindh",House,PKR   1.15 Crore,"Bahria Town Karachi, Karachi, Sindh",-,5 Marla,For Sale,-,1 day ago,"Looking for a beautifully built House for Sale? We've got just that in store for you! The House, spread over 125 Square Yards, is located in , Bahria Town - Precinct 11-A, Karachi. The House is available at an attractive price of 1 crore 15 lac PKR (Pakistan). Feel free to call us for further details and do not forget to mention Zameen. com while calling."," Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup", , , ," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled",super hot,Karachi-2-1,5/19/2019 0:17
4,04 Bed Rooms Luxury Villa Is Available For Sale In Sports City,"Bahria Sports City, Bahria Town Karachi, Karachi, Sindh",House,PKR   1.4 Crore,"Bahria Town Karachi, Karachi, Sindh",4,14 Marla,For Sale,4,2 days ago,"Bahria Town Karachi. For Sale:Sports City 04 Bed Rooms Luxury Villa. Precinct #35:Villa Size: 350. Villa   # : Street: # : 04. Feature:  : Near JinnahRent:     : 140,00000/-*Full Paid. *Good Location. *Best For Investment.", ," Bedrooms: 4 , Bathrooms: 4 , Kitchens: 1", , , , ,super hot,Karachi-2-1,5/19/2019 0:17
5,235 Sq Yd Villa West Open Villa Available For Sale Near Park,"Bahria Town - Precinct 31, Bahria Town Karachi, Karachi, Sindh",House,PKR   91.5 Lakh,"Bahria Town Karachi, Karachi, Sindh",3,9.4 Marla,For Sale,3,4 days ago,"Good location 3 bed villa of 235 Sq Yd size is available for sale in Precinct 31 of Bahria Town Karachi. This villa is located close to park and Jinnah Avenue. Possession is expected very soon in P31 and it’s a fully developed villa. Location of P31 is as good as it can get. P35 Sports City Villas are right next to P31 Villas. This area is the largest concentration on constructed homes in Bahria Town Karachi. Possession in P35 Villas is already available and families are living there. Bahria Town Karachi comes with world class amenities and some amazing tourist attractions like full size replica of Taj Mahal, Central Park, Carnival, Dancing Fountain, Eiffel Tower, Rafi Cricket Stadium and much morePlease note that more options of villas, apartments and plots are also available in different blocks of Bahria Town Karachi. Bahria Town Karachi is a master-planned gated community which promises the international standards of infrastructure and state-of-the-art amenities to its residents. Here are some of the features of Bahria Town Karachi•   World class security with 24/7 Surveillance•   Commercial areas, Gold-Class cinemas, International standard hospitals•   State-of- the-art sports facilities, Community sports club & Zoo•   World-class schools, colleges and International University•   International theme park, Play-land and water-rides•   Monuments of Wonders of the world like Eiffel Tower, Taj-Mahal and Statue of Liberty•   Grand Jamia Mosque with capacity of about 1 million•   5-star international hotel & USGA standard golf course•   Grid station & telephone-exchange•   Transport system from Bahria Town to City Centre•   100 % backup power (No Load-shedding) And much more…To get more information about this property and for other investment options in Bahria Projects, please contact Jaidad Group."," Built in year: 2018 , Parking Spaces , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors , Other Main Features , Furnished"," Bedrooms: 3 , Bathrooms: 3 , Servant Quarters , Drawing Room , Dining Room , Kitchens , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities"," Lawn or Garden , Swimming Pool , Sauna , Jacuzzi , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",super hot,Karachi-2-1,5/19/2019 0:17
6,Villa Is Available For Sale,"Bahria Town - Precinct 11, Bahria Town Karachi, Karachi, Sindh",House,PKR   1.2 Crore,"Bahria Town Karachi, Karachi, Sindh",3,6 Marla,For Sale,3,8 hours ago,"Villa for Sale. Location: Bahria Town Karachi. Having 3 Bedrooms. Drawing Dining. Bahria Features: Master-planned gated communityAdvanced security & rescue servicesPakistan largest shopping mall5-star international hotel & USGA standard golf courseCommercial areasGold-Class cinemas State-of- the-art sports facilitiesWorld-class school, college and International UniversityInternational standard hospitalInternational theme park, play-land and water-ridesWonders of the world monuments (Eiffel Tower, Taj-Mahal and Statue of Liberty)Jamiah MosqueLandscaped parksCommunity sports club & zooInternational standard construction & infrastructureGrid station & telephone-exchange Transport system from Bahria Town to City Centre100 % backup power (No Load-shedding)Own Money Change as per Market A Master-Planned Community with World-Class Infrastructure and FacilitiesProject Attraction: Bahria Town signature facilities and modern infrastructureProject Type: Master-planned community Project Status: Possession Handover has been started. Ideal Location | Unbelievable Prices25 minutes from Jinnah International Airport, Connected through Malir Cantt via 6 lane expressway9Km from Super-Highway toll plaza20 minutes from City Centre via metro bus. Ideal Location. Reasonable Demand. It is sure to be a profitable deal for any genuine client. For more information please contact.", ," Bedrooms: 3 , Bathrooms: 3 , Drawing Room , Dining Room , Kitchens: 1", , , , ,super hot,Karachi-2-1,5/19/2019 0:17
7,House Is Available For Sale In Precinct 23,"Bahria Town - Precinct 23, Bahria Town Karachi, Karachi, Sindh",House,PKR   68 Lakh,"Bahria Town Karachi, Karachi, Sindh",3,8 Marla,For Sale,3,9 hours ago,"House For Sale. Location: Bahria Town, Precinct 23-A. Having 3 Bed Rooms. Drawing /Dinning. Good Location. Reasonable demand. Own As Per Market Standard. Community Features :Master-planned gated communityAdvanced security & rescue servicesPakistan largest shopping mall5-star international hotel & USGA standard golf courseCommercial areasGold-Class cinemas State-of- the-art sports facilitiesWorld-class school, college and International UniversityInternational standard hospitalInternational theme park, play-land and water-ridesWonders of the world monuments (Eiffel Tower, Taj-Mahal and Statue of Liberty)Jamiah MosqueLandscaped parksCommunity sports club & zooInternational standard construction & infrastructureGrid station & telephone-exchange Transport system from Bahria Town to City Centre100 % backup power (No Load-shedding)Own Money Change as per Market A Master-Planned Community with World-Class Infrastructure and FacilitiesProject Attraction: Bahria Town signature facilities and modern infrastructureProject Type: Master-planned community Project Status: Possession Handover has been started. Ideal Location | Unbelievable Prices25 minutes from Jinnah International Airport, Connected through Malir Cantt via 6 lane expressway9Km from Super-Highway toll plaza20 minutes from City Centre via metro bus. It is sure to be a profitable deal for any genuine client. Contact us For more details."," Double Glazed Windows , Central Air Conditioning , Central Heating , Waste Disposal , Furnished"," Drawing Room , Dining Room , Study Room , Prayer Room , Powder Room  , Gym , Steam Room , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom"," Lawn or Garden , Swimming Pool , Sauna , Jacuzzi", ," Maintenance Staff , Security Staff , Facilities for Disabled",super hot,Karachi-2-1,5/19/2019 0:17
8,125 Sq Yd Villa For Sale In Precinct 11A,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Bahria Town Karachi, Karachi, Sindh",House,PKR   90 Lakh,"Bahria Town Karachi, Karachi, Sindh",3,5 Marla,For Sale,3,9 hours ago,"Good location 3 bed villa of 125 Sq Yd size is available for sale in Precinct 11A of Bahria Town Karachi. This villa is located close to park and Main Boulevard. Possession is expected very soon. Jinnah Ave is accessible with 2 minutes drive. Bahria Town Karachi comes with world class amenities and some amazing tourist attractions like full size replica of Taj Mahal, Central Park, Carnival, Dancing Fountain, Eiffel Tower, Rafi Cricket Stadium and much morePlease note that more options of villas, apartments and plots are also available in different blocks of Bahria Town Karachi. Bahria Town Karachi is a master-planned gated community which promises the international standards of infrastructure and state-of-the-art amenities to its residents. Here are some of the features of Bahria Town Karachi• World class security with 24/7 Surveillance• Commercial areas, Gold-Class cinemas, International standard hospitals• State-of- the-art sports facilities, Community sports club & Zoo• World-class schools, colleges and International University• International theme park, Play-land and water-rides• Monuments of Wonders of the world like Eiffel Tower, Taj-Mahal and Statue of Liberty• Grand Jamia Mosque with capacity of about 1 million• 5-star international hotel & USGA standard golf course• Grid station & telephone-exchange• Transport system from Bahria Town to City Centre• 100 % backup power (No Load-shedding)And much more…"," Built in year: 2018 , Parking Spaces: 3 , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 2 , Other Main Features , Furnished"," Bedrooms: 3 , Bathrooms: 3 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 1 , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms: 1 , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities"," Lawn or Garden , Sauna , Jacuzzi", ," Maintenance Staff , Security Staff , Facilities for Disabled",super hot,Karachi-2-1,5/19/2019 0:17
9,Wide Road West Open Corner Brigadier House For Sale In Askari 5 Sector H,"Askari 5 - Sector H, Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",House,PKR   6.7 Crore,"Cantt, Karachi, Sindh",6,17.1 Marla,For Sale,5,11 hours ago,"West Open Corner Double Storey Bungalow For Sale In Askari 5 Malir Cantt Sector HIt has 5 Bedroom With Attached Bath Servant Room With Attached Bath Spacious Drawing Room, Dining Room, Kitchen,Fully Secured Area, Car Parking, 24 Hours Line Water, No Load Shedding, Peaceful EnvironmentNear By APS School, Near By City School,Reasonable Price, Contact Us For More Details.", ," Bedrooms: 5 , Bathrooms: 6 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 1 , Study Room , Prayer Room , Powder Room  , Store Rooms: 1 , Lounge or Sitting Room , Laundry Room , Other Rooms", , Lawn or Garden, ," Maintenance Staff , Security Staff , Facilities for Disabled",super hot,Karachi-2-1,5/19/2019 0:17
10,West Open Corner Brigadier House For Sale In Askari 5 Sector H,"Askari 5 - Sector H, Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",House,PKR   6.7 Crore,"Cantt, Karachi, Sindh",6,17.1 Marla,For Sale,5,11 hours ago,"West Open Corner Double Storey Bungalow For Sale In Askari 5 Malir Cantt Sector HIt has 5 Bedroom With Attached Bath Servant Room With Attached Bath Spacious Drawing Room, Dining Room, Kitchen,Fully Secured Area, Car Parking, 24 Hours Line Water, No Load Shedding, Peaceful EnvironmentNear By APS School, Near By City School,Reasonable Price, Contact Us For More Details.", ," Bedrooms: 5 , Bathrooms: 6 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 1 , Study Room , Prayer Room , Powder Room  , Store Rooms: 1 , Lounge or Sitting Room , Laundry Room", , Lawn or Garden, ," Maintenance Staff , Security Staff , Facilities for Disabled",super hot,Karachi-2-1,5/19/2019 0:17
