,Title,Label,Type,Price,Location,Baths,Area,Purpose,Bedroom(s),Added,Description,Main Features,Rooms,Business and Communication,Healthcare Recreational,Nearby Locations and Other Facilities,Other Facilities,Popular,Source,Time Stamp
1,100% Percent Original Pictures Brand New Luxurious Villa,"DHA Phase 6, DHA Defence, Lahore, Punjab",House,PKR   4.4 Crore,"DHA Defence, Lahore, Punjab",6,1 Kanal,For Sale,5,9 minutes ago,"Harum Real Estate & Builder Offers,100 % Original PicturesDemand @ 475 LacMODERN LAVISH DESIGN 1 Kanal Brand New Spanish Bungalow DHA Defence, DHA Lahore About The Property: • 5 Master Bedrooms • 6 Washroom • 2 Kitchen with Wooden Work• Washrooms With Imported Fitting• 4 Car Parking • Big TV Lounge • Drawing room  • Dining Room• Powder Room • 2 Store Rooms • Tile+Marble flooring• Servant Quarter  • Owner Build House • Green Lush Lawn • Sitting Area And Bar B Q Area. Notice: Mosque * DHA office complex * Beacon house New lands* Lahore Grammar School * Sports complex * Lahore garrison University * Sports Club* Park * Sector shops. Public area allocation for School & Hospital. NOTE= More Options Available (5 Marla, 10 Marla, 1 Kanal, 2 Kanal) In Low Budget. Please quote Zameen. com when calling us. For More Details."," Built in year: 2018 , Parking Spaces: 4 , Flooring , Electricity Backup , Waste Disposal , Floors: 2 , Other Main Features"," Bedrooms: 5 , Bathrooms: 6 , Servant Quarters , Drawing Room , Dining Room , Kitchens: 3 , Study Room , Prayer Room , Powder Room  , Store Rooms , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities"," Lawn or Garden , Sauna , Jacuzzi , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",super hot,Lahore-1-1,3/30/2019 11:30
2,1 Kanal Brand New Out Class Design Palace In Phase 6 Dha Lahore,"DHA Phase 6, DHA Defence, Lahore, Punjab",House,PKR   4.05 Crore,"DHA Defence, Lahore, Punjab",6,1 Kanal,For Sale,5,30 minutes ago,"About Phase 6, DHA Lahore:Location: DHA Lahore Phase 6 is a master planned Phase of DHA Lahore, situated on one of the most lucrative locations near the renowned Lahore Ring Road and is also very near to the Barki Road and Bedian Road LahoreAmenities provided in DHA Phase 6:• Parks: Sector A Park, Sector H Park, Sector J Park, Sector K Park, Sector S Park, Sector Z-1 Park, Sector Z-2 Park• Schools: Lahore Garrison University, The City School, Beacon house-Newlands, St. Marry School, DHA School, Govt. High School, Progressive School Girls Collage, Jamshed Junior Model School, Sicas Main Campus, Lahore School of Economics. • Hospitals: Sharif Hospital, Gulberg Lions Hospitals, Avicenna Hospital, Vitality Healthcare Skin and Laser Center, Fatima Hospital, Kamran Sadiq Hospital, Lidher Hospital• DHA Club Defence Raya Golf Club. • Amenities: Electricity, Sui Gas, Clean Drinking Water, Telephone, Broadband, Sewerage, Carpeted Roads Network etc. • Central Commercial Areas: Markco Tech Shopping Mall in the same phase, Jalal Sons, E Block Market, Super Market, Main Market are on few minute distance. About The Property•	05 Master Size Bed Rooms with attached bath 2 huge size •	TV lounge•	2 kitchens•	Huge parking space•	All baths are equipped with imported fittings•	House is located near park/mosque Commercial area is very near to premises•	Total covered area of house is 3000 sq ft•	Double story house•	Complete wiring of UPS and Generator done in the house•	Solid steel work used for outside main gate•	Complete marble/tiled/wooden flooring•	Wash rooms are completely covered by Spanish tiles•	70 ft road•	All the construction near and adjacent to house is new•	Spacious green belt•	Side streets are proper covered with tiles•	House is completed according to DHA by-laws•	Solid steel work used in cabinets•	Fall Ceiling done all over including bed rooms/drawing/dinning and kitchen Seepage protection given while constructing the home•	Protection sheets installed while building the upper portion to keep both portions cool in summers•	Double glace windows for sound proofing•	Solid stairs built with steel frame work and granite used in outer\•	Washing area is elegantly managed at the back side of house•	Servant quarter with attached bath. •	A mid size family can easily live in it. •	Good sizes of washrooms with large wardrobes in it. •	Superb elevation House location is excellent. •	Main hospitals are so nearby that hardly just 5 minutes away from the premises. •	Exclusive views from the terrace. •	Spacious terrace where one can easily have good walk and reasonable sitting area. •	Underground water tank installed. •	Aluminum grills all over the house Club Community Center and graveyard is just 5 minutes away. •	All the basic necessities of life are available. •	All the basic utilities are available including connections of water/sewage/gas and electricity. •	Ghazi Road is just 3 minutes driveFor more information contact us"," Built in year: 2019 , Parking Spaces: 4 , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 2"," Bedrooms: 5 , Bathrooms: 6 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Store Rooms: 1 , Steam Room , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom"," Lawn or Garden , Jacuzzi", ," Maintenance Staff , Security Staff",super hot,Lahore-1-1,3/30/2019 11:30
3,1 Kanal Outstanding Design Bungalow With All Branded Accessories Installed In Dha Lahore,"DHA Phase 5, DHA Defence, Lahore, Punjab",House,PKR   4 Crore,"DHA Defence, Lahore, Punjab",6,1 Kanal,For Sale,5,44 minutes ago,"LEADS ESTATES ® | The Real Estate Leaders | Top Real Estate Company in DHA Lahore Pakistan. Always Looking For The Best Possible Deals? No Problem With LEADS ESTATES, You’ll Get The Best deals of The Market. An Authorized Real Estate Consultant. • A Secure Platform For Your Property Assets. • Deals In All Kind Of Property In DHA Lahore. • Special Consultancy Forum For Foreigners. • We Do Sale/purchase On Best possible Rates. Deal with us and get more benefits in the form of transparency of deals and also everything of the deal on the record for your assurance. We are offering one of the best deal here with gorgeous Bungalow for sale Lahore. The Main Features of this house are below. LEADS ESTATES offer state of the Art Elegant Modern Design Villa designed by Renowned Architect of Pakistan. It is located at finest location of society. The bungalow having 5 bedrooms with Attached Luxury baths with imported Grohee Fittings used in all washrooms. Spanish Tiled used in all washrooms. INVERTER Splits in whole House Italian SMC kitchen with All Accessories Imported Brazilian Granite used for floors. Beautiful Featured walls with imported BONSAI planters. Imported wallpapers from Dubai with Elegant Chandeliers. Price is very Reasonable according to the quality. For further details and visit please contact us at provided number. IMPORTANT: Before Ignoring property due to price, Try your Offer, May be seller agree to your price. (Just 1 text with your offer ""Any Time"")Leads EstateProudly Offers Residential Plot For Sale In DHA Lahore."," Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal"," Drawing Room , Dining Room , Study Room , Prayer Room , Powder Room  , Gym , Steam Room , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom"," Lawn or Garden , Swimming Pool , Sauna , Jacuzzi", ," Maintenance Staff , Security Staff , Facilities for Disabled",super hot,Lahore-1-1,3/30/2019 11:30
4,1 Kanal Brand New Outclass Italian Bungalow Near By DHA Office And Sports Complex,"DHA Phase 6, DHA Defence, Lahore, Punjab",House,PKR   4.35 Crore,"DHA Defence, Lahore, Punjab",6,1 Kanal,For Sale,5,4 hours ago,"Attached 100 % Original PicturesOutstanding DESIGN 1 Kanal Bungalow Phase 6, DHA Lahore About The Property:• 5 Master Bedrooms • 6 Washroom • 3 Kitchen with Wooden Work• Washrooms With Imported Fitting• 4 Car Parking • Big TV Lounge • Drawing room • Dining Room• Powder Room • 2 Store Rooms • Tile+Marble flooring• Servant Quarter • Owner Build House • Green Lush Lawn • Sitting Area And Bar B Q Area . Selling Price: 4 Crore 35 LacsNotice: Masjid * DHA office complex * Beacon house New lands* Lahore Grammar School * Sports complex * Lahore garrison University * Sports Club* Park * Sector shops. Public area allocation for School & Hospital. NOTE= More Options Available (5 Marla, 10 Marla, 1 Kanal, 2 Kanal) In Low Budget. Please quote Zameen. com when calling us. For More Details Contact Us. ."," Built in year: 2018 , Parking Spaces: 4 , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Floors: 2 , Other Main Features"," Bedrooms: 5 , Bathrooms: 6 , Servant Quarters: 2 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Store Rooms: 1 , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities"," Lawn or Garden , Sauna , Jacuzzi , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",super hot,Lahore-1-1,3/30/2019 11:30
5,1 Kanal Beautiful Build Bungalow For Sale In DHA Phase 6,"DHA Phase 6, DHA Defence, Lahore, Punjab",House,PKR   3.9 Crore,"DHA Defence, Lahore, Punjab",6,1 Kanal,For Sale,5,11 hours ago,House Details: * 4 Walls + Millet Tiles* Single Unit With Double Height* 5 Bedrooms + Washrooms* Drawing* Dining* 2 Tv Lounges* 2 Kitchens* 1 Store Room* 4 Car Parking SpaceFor More info Call or Visit our website," Built in year: 2019 , Parking Spaces: 4 , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 2 , Other Main Features"," Bedrooms: 5 , Bathrooms: 6 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms: 1 , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities"," Lawn or Garden , Swimming Pool , Sauna , Jacuzzi , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",super hot,Lahore-1-1,3/30/2019 11:30
6,10 Marla Brand New House For Sale In DHA Phase 2,"DHA Phase 2 - Block S, DHA Phase 2, DHA Defence, Lahore, Punjab",House,PKR   3.1 Crore,"DHA Defence, Lahore, Punjab",4,10 Marla,For Sale,4,39 minutes ago,"Always dreamed of a House in DHA Defence, Lahore? Your dream may be on the verge of being fulfilled as a 10 Marla House for sale is available at the reasonable rate of Rs 31,000,000.  Features:5 Huge Beautiful Bedrooms Attached WashroomTV Lounge Drawing RoomDining RoomKitchenPowder RoomBranded Tiles, Solid Wooden WorkServant QuarterHuge Car PorchHush Green LawnVery Near to Commercial MarketVery Ideal LocationFeaturing with ample space, the abode is ideal.   If you have further queries in mind, please feel free to call us. Mention Zameen. com while calling.", ," Bedrooms: 4 , Bathrooms: 4 , Drawing Room , Dining Room , Kitchens: 1", , , , ,super hot,Lahore-1-1,3/30/2019 11:30
7,10 Marla Brand New Faisal Rasool Design Spanish Bungalow For Sale,"DHA Phase 1 - Block K, DHA Phase 1, DHA Defence, Lahore, Punjab",House,PKR   3.6 Crore,"DHA Defence, Lahore, Punjab",5,10 Marla,For Sale,4,40 minutes ago,"Here is a great opportunity for you to have the property of your choice. If you are in search for a 10 Marla House for sale, please feel free to call us. The House is located in DHA Phase 1, Lahore and is ready to use. Features:4 Beds Attached baths 2 Servant Quarters 1 Store in basement. Solid ash wood doors. The House is available for Rs 36,000,000. Please feel free to call us for further details and do not forget to mention Zameen. com while calling.", ," Bedrooms: 4 , Bathrooms: 4 , Drawing Room , Dining Room , Kitchens: 1", , , , ,super hot,Lahore-1-1,3/30/2019 11:30
8,7 Marla Brand New House For Sale in Dha Phase 3,"DHA Phase 3 - Block XX, DHA Phase 3, DHA Defence, Lahore, Punjab",House,PKR   2.35 Crore,"DHA Defence, Lahore, Punjab",-,7 Marla,For Sale,4,14 hours ago,"We all want a comfortable abode at an affordable price. If you are looking for a House spanning 7 Marla to sale, we have exactly what you need! The House is located in DHA Phase 3, DHA Defence, Lahore  and offers spacious 4 bed  All of this comes at a price of Rs 23,500,000. 4 Master Bedrooms With Attached  Washroom,	Imported Kitchen, Double T. v lounge, Drawing Dining,	Solid wood, Tiles Floor,	Huge Car Garage, A. c 	Very Near to Commercial Market. 	Near to  Sports Complex,	All of this and more is available at a reasonable price of Rs 23,500,000.", , Bedrooms: 4, , , , ,super hot,Lahore-1-1,3/30/2019 11:30
9,1 KANAL house FOR SALE IN BAHRIA TOWN IN BAHRIA TOWN BLOCK JASMIN,"Bahria Town - Jasmine Block, Bahria Town - Sector C, Bahria Town, Lahore, Punjab",House,PKR   4.5 Crore,"Bahria Town, Lahore, Punjab",6,1 Kanal,For Sale,5,15 hours ago,"We Offers Wide Range of Properties in Approved Housing Schemes From all Over the Pakistan. We have Professional Realtors Team who are Committed to Provide Excellent Services, Consultancy Regarding Sale/Purchase/Investment in Short Term or Long Term to Our Valuable Client Base Nation Wide or Overseas. We are Authorized Dealer of Bahria Town All Projects. Sector CProject Attraction: Residential & Commercial Hub of “Future Lahore”Project Type: Residential/Commercial Master Planned CommunityLaunch: 2004Unit Type: Plots in different sizes 250Sq yards, 500Sq yards & 1000Sq yardsAvailable: Commercial plots   in various sizes (100 Sq yards & 200 Sq yards)Project Status: Possession for all the blocks has been handed over. Location: Set within the heart of Bahria Town Lahore, Adjacent to Sector B, Safari Villas and Overseas Enclave LahoreThe tremendous success of Sector A & Sector B invited the launch of Sector C. By far the largest single project of Bahria Town Lahore. Sector-C promises to be the future commercial hub for the “New Lahore a term now popularly associated with the recent new developments happening alongside the famous Lahore Canal. In accordance with its futuristic and strategic positioning, a main boulevard of 210 feet wide has been laid down across Sector-C to cater to the commercial load. A 4 Km section “Independence Drive” is allocated to high rise buildings on both sides of the 210 feet boulevard giving it the much deserved facelift. Currently very popular especially with the business class for investments in commercial opportunities; Sector-C is demanding profitable returns from high end investors who look forward to settling here in order to be close to their work places and businesses. Sector C brings bigger, more innovative and extra features to the standardized landscape of Bahria Town Developments. FeaturesZooBahria Town MonumentCommunity CentreEntertainment CentreGrand & Sector MosquesBahria Town School and Medical UniversityLandscaped parksIslamic libraryCommercial areasBahria Country ClubMini GolfRestuarantsBlocks In Sector C :•	Chambelli Block•	Gardenia Block. •	Gulbahar Block•	Gulmohar Block•	Iris Block•	Janiper Block•	Jasmine Block•	Nargis Block•	Nargis Extension•	Tulip Block •	Tulip ExtensionFor More Information of Houses, Plots & Commercial for Investment , Residential  & Rental Purpose feel free to Contact Us: Call/What Sapp/Email 24/7"," Built in year: 2019 , Parking Spaces: 3 , Flooring , Electricity Backup , Floors: 2 , Other Main Features"," Bedrooms: 5 , Bathrooms: 6 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Store Rooms: 1 , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", Lawn or Garden," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service"," Maintenance Staff , Security Staff , Facilities for Disabled",super hot,Lahore-1-1,3/30/2019 11:30
10,2 Kanal 12 Marla Complete Double Unit House Is Available For Sale At Gulberg 2,"Gulberg 2 - Block T, Gulberg 2, Gulberg, Lahore, Punjab",House,PKR   25 Crore,"Gulberg, Lahore, Punjab",-,2.6 Kanal,For Sale,4,15 hours ago,"If you are in search of a 52 Marla House for sale in Gulberg 2, Lahore, please feel free to contact us. The House has 4 bed, ready to be occupied. You just need to shift your belongings here. . The House is available for Rs 250,000,000. Beautiful Well Design Fully basement At Gulburg 2 T Block Having 4 Beds Attached Baths Drawing Dining Double kitchen Double TV Lounge Complete Double Unit Home Theater Study room Home Jym Swimming Pool 1 Powder room Huge Garage Lush Green Lawn Situated at Such a Hot Location Walking Distance From Park Mosque and Commercial Market	You can call us for further details. Please mention Zameen. com when calling.", , Bedrooms: 4, , , , ,super hot,Lahore-1-1,3/30/2019 11:30
